"DMF No",STATUS,"Submission Date","DMF Holder",Molecule
19340,A,4/11/2006,"ORCHID PHARMA LTD","SUMATRIPTAN SUCCINATE"
19342,A,4/11/2006,"TEVA PHARMACEUTICAL INDUSTRIES LTD","AZTREONAM USP "
19343,A,4/04/2006,"ERREGIERRE SPA","PIOGLITAZONE HYDROCHLORIDE"
19347,A,4/10/2006,"PERRIGO API LTD","TEMOZOLOMIDE "
19365,A,4/10/2006,"HUBEI HAOSUN PHARMACEUTICAL CO LTD","GRANISETRON HYDROCHLORIDE (NON-STERILE)"
19366,A,4/14/2006,"MYLAN LABORATORIES LTD","LABETALOL HYDROCHLORIDE USP"
19367,A,4/14/2006,"MYLAN LABORATORIES LTD","OMEPRAZOLE MAGNESIUM USP"
19368,A,4/14/2006,"MYLAN LABORATORIES LTD","NEVIRAPINE HEMIHYDRATE USP "
19369,A,4/14/2006,"MYLAN LABORATORIES LTD","MIRTAZAPINE USP (ANHYDROUS)"
19372,A,4/19/2006,"SUN PHARMACEUTICAL INDUSTRIES LTD","SUMATRIPTAN SUCCINATE USP"
19376,A,4/19/2006,"CHEMOSWED AB",ISRADIPINE
19384,A,4/20/2006,"DR REDDYS LABORATORIES LTD","OLMESARTAN MEDOXOMIL"
19385,A,3/01/2006,"WOCKHARDT LTD",ENTACAPONE
19386,A,9/16/2005,"CADILA PHARMACEUTICALS LTD","VENLAFAXINE HYDROCHLORIDE "
19387,A,4/18/2006,"AUROBINDO PHARMA LTD","LEVETIRACETAM USP"
19388,A,4/18/2006,"AUROBINDO PHARMA LTD","CARISOPRODOL USP"
19397,A,4/29/2006,"SUVEN LIFE SCIENCES LTD","(R)-(-)-5-(2-AMINOPROPYL)-2-METHOXYBENZENE SULPHONAMIDE HYDROCHLORIDE DRUG INTERMEDIATE "
19398,A,4/26/2006,"AUROBINDO PHARMA LTD","ZALEPLON USP"
19400,A,5/02/2006,"GLENMARK PHARMACEUTICALS LTD","LORATADINE USP"
19401,A,5/02/2006,"ORCHID PHARMA LTD","CEFDINIR FORM-B"
19402,A,4/20/2006,"SYMBIOTEC PHARMALAB PRIVATE LTD","HALOBETASOL PROPIONATE "
19403,A,5/02/2006,"TEVA PHARMACEUTICAL INDUSTRIES LTD","DESLORATADINE DRUG SUBSTANCE"
19407,A,6/13/2006,"ZHEJIANG EXCEL PHARMACEUTICAL CO LTD","GEIBROZIL USP"
19409,A,4/29/2006,"AUROBINDO PHARMA LTD","CLOPIDOGREL BISULFATE USP"
19410,A,4/21/2006,"COSMA SPA",BICALUTAMIDE
19413,A,5/08/2006,"AARTI INDUSTRIES LTD","QUINAPRIL HYDROCHLORIDE USP"
19415,A,5/09/2006,"FORMOSA LABORATORIES INC","CALCIPOTRIOL ANHYDROUS"
19416,A,5/09/2006,"MALLADI DRUGS AND PHARMACEUTICALS LTD","THREO-RITALINIC ACID AND SALT "
19417,A,5/09/2006,"URQUIMA SA","OLOPATADINE HYDROCHLORIDE"
19419,A,4/28/2006,"SOUTHWEST SYNTHETIC PHARMACEUTICAL CORP LTD","MECLIZINE HYDROCHLORIDE "
19422,A,5/05/2006,"EUTICALS SPA","AZELASTINE HYDROCHLORIDE"
19425,A,4/20/2006,"SHANDONG LUNAN BETTER PHARMACEUTICAL CO LTD","MOSAPRIDE CITRATE (NON-STERILE BULK FORM)"
19426,A,5/12/2006,"HELSINN CHEMICALS SA HELSINN ADVANCED SYNTHESIS SA","SODIUM BENZOATE"
19427,A,5/16/2006,"SUN PHARMACEUTICAL INDUSTRIES LTD","GEMCITABINE HYDROCHLORIDE USP"
19428,A,5/12/2006,"GLENMARK PHARMACEUTICALS LTD",DESLORATADINE
19429,A,5/15/2006,"GEDEON RICHTER PLC","NORGESTIMATE USP"
19433,A,5/10/2006,"ZHEJIANG XIANJU PHARMACEUTICAL CO LTD","MEDROXYPROGESTERONE ACETATE USP, NON-STERILE BULK DRUG SUBSTANCE"
19434,A,5/16/2006,"ZEVACOR PHARMA INC",IODINE-124
19438,A,5/12/2006,ISOTEC,"POTASSIUM PALMITATE-1,2,3,4-(13)C(4) FOR CLINICAL RESEARCH"
19440,A,5/16/2006,"AARTI DRUGS LTD","ZOLPIDEM TARTRATE"
19441,A,5/17/2006,"DIVIS LABORATORIES LTD",DESLORATADINE
19443,A,3/20/2006,"HEC PHARM CO LTD","ERYTHROMYCIN THIOCYANATE, PHARMACEUTICAL INTERMEDIATE BULK FORM"
19444,A,3/20/2006,"HEC PHARM CO LTD","ERYTHROMYCIN USP, NON-STERILE BULK FORM "
19446,A,5/12/2006,"JUBILANT GENERICS LTD","ESCITALOPRAM OXALATE USP"
19447,A,5/01/2006,"PIRAMAL ENTERPRISES LTD","OXYBUTYNIN CHLORIDE"
19448,A,5/18/2006,"PAR A TECHNOLOGIES PRIVATE LTD","MOLINDONE HYDROCHLORIDE"
19449,A,5/16/2006,"ZHEJIANG SUPOR PHARMACEUTICALS CO LTD","FELODIPINE, NON-STERILE DRUG SUBSTANCE USP"
19450,A,5/16/2006,"ZHEJIANG SUPOR PHARMACEUTICALS CO LTD",SECNIDAZOLE
19452,A,5/17/2006,"CHEMCO PLUS SCIENTIFIC CO LTD","LC-SORB SPW-C-ODS(S)"
19454,A,5/22/2006,"AUROBINDO PHARMA LTD","GEIBROZIL USP"
19455,A,5/25/2006,"SUN PHARMACEUTICAL INDUSTRIES LTD","FOSPHENYTOIN SODIUM USP "
19456,A,5/24/2006,"DR REDDYS LABORATORIES LTD",DESLORATADINE
19457,A,5/23/2006,"SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL",KETOPROFEN
19458,A,5/19/2006,"APOTEX PHARMACHEM INDIA PVT LTD","LEVOFLOXACIN USP"
19460,A,5/26/2006,"SIEGFRIED USA LLC","HYDROCODONE BITARTRATE USP"
19463,A,5/24/2006,"MEDICHEM MANUFACTURING MALTA LTD","ZALEPLON (MED - 201970) "
19464,A,5/22/2006,"ST GOBAIN PERFORMANCE PLASTICS CORP","SANIPURE(TM) 60 BIOPHARMACEUTICAL TUBING"
19465,A,5/22/2006,"INDUSTRIALE CHIMICA SRL","MEMANTINE HYDROCHLORIDE USP"
19466,A,5/26/2006,"JOHNSON MATTHEY INC PHARMACEUTICAL MATERIALS",OXANDROLONE
19467,A,5/19/2006,"PEPTIDO GMBH","LIOTHYRONINE SODIUM"
19468,A,5/24/2006,"RHODIA OPERATIONS","GADOLINIUM OXIDE"
19472,A,5/24/2006,"APICORE US LLC",FOMEPIZOLE
19473,A,5/26/2006,"NOF CORP","PL-2000CS PHOSPHOLIPID COMPOUND"
19474,A,5/26/2006,"DSM NUTRITIONAL PRODUCTS LTD","BONISTEIN(TM) - GENISTEIN CRYSTALLINE"
19475,A,5/17/2006,"ST GOBAIN PERFORMANCE PLASTICS CORP","TYGON (R)R 3350 - SANITARY SILICONE TUBING"
19476,A,5/26/2006,"FARMAK AS","ALFUZOSIN HYDROCHLORIDE"
19477,A,5/31/2006,"FARMABIOS SPA","FLUNISOLIDE ANHYDROUS USP"
19478,A,5/26/2006,"AUROBINDO PHARMA LTD","CEFEPIME HYDROCHLORIDE, NON-STERILE INTERMEDIATE DRUG SUBSTANCE"
19479,A,5/31/2006,"UNIMARK REMEDIES LTD","BENAZEPRIL HYDROCHLORIDE USP "
19481,A,5/31/2006,"BASF SE","DERMAZ 99 (AZELAIC ACID) "
19482,A,5/30/2006,PCAS,CICLETANINE
19484,A,5/31/2006,"AUROBINDO PHARMA LTD","PERINDOPRIL TERT-BUTYLAMINE DRUG SUBSTANCE"
19485,A,5/31/2006,"NUVIEW LIFE SCIENCES INC","COPPER CHLORIDE (CU-64) RADIOCHEMICAL"
19489,A,5/30/2006,"POLYMED THERAPEUTICS INC","CHOLECALCIFEROL CRYSTAL (NON-STERILE BULK DRUG SUBSTANCE)"
19490,A,6/01/2006,"AARTI DRUGS LTD","METOPROLOL SUCCINATE"
19495,A,6/05/2006,"OLON SPA","BETAHISTINE DIHYDROCHLORIDE"
19497,A,3/31/2006,"CHEMPACIFIC CORP","DYCLONINE HYDROCHLORIDE DRUG SUBSTANCE"
19498,A,6/01/2006,"HELSINN CHEMICALS SA HELSINN ADVANCED SYNTHESIS SA","DANTROLENE SODIUM DRUG SUBSTANCE"
19499,A,6/06/2006,"SUN PHARMACEUTICAL INDUSTRIES LTD","IMATINIB MESYLATE "
19503,A,5/30/2006,"WOCKHARDT LTD","ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE"
19506,A,6/07/2006,"CHONGQING DAXIN PHARMACEUTICAL CO LTD","TOBRAMYCIN FORM-1 USP"
19507,A,6/06/2006,"TEVA PHARMACEUTICAL INDUSTRIES LTD",IMIQUIMOD
19511,A,6/06/2006,"ZHEJIANG APELOA KANGYU PHARMACEUTICAL CO LTD","LEVOFLOXACIN HEMIHYDRATE, USP"
19512,A,8/23/2005,"BRISTOL-MYERS SQUIBB CO","MDX-010 (ANTI-CTLA4 HUMAN MONOCLONAL ANTIBODY)"
19514,A,6/12/2006,"FIDIA FARMACEUTICI SPA DIVISIONE SOLMAG","SODIUM HYALURONATE OPHTHALMIC - FERMENTATIVE ORIGIN (TOPICAL GRADE)"
19516,A,6/05/2006,"AUROBINDO PHARMA LTD","QUETIAPINE FUMARATE"
19517,A,6/12/2006,"AMRI RENSSELAER INC SUB ALBANY MOLECULAR RESEARCH INC","DEXTROAMPHETAMINE DRUG INTERMEDIATE"
19522,A,6/15/2006,"UNIMARK REMEDIES LTD","RAMIPRIL USP "
19523,A,6/15/2006,"NATCO PHARMA LTD","ZOLEDRONIC ACID"
19525,A,6/19/2006,"INNER MONGOLIA CHANGSHENG PHARMACEUTICAL CO LTD","6-AMINOPENICILLANIC ACID"
19526,A,6/14/2006,"CRYSTAL PHARMA SAU","OLOPATADINE HYDROCHLORIDE (PROCESS I)"
19528,A,6/14/2006,"CRYSTAL PHARMA SAU","BUDESONIDE STERILE MICRONIZED"
19531,A,4/30/2006,"CAMBREX KARLSKOGA AB","LIDOCAINE HYDROCHLORIDE"
19532,A,4/30/2006,"CAMBREX KARLSKOGA AB","LIDOCAINE "
19533,A,6/15/2006,"ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD","CARVEDILOL USP"
19534,A,6/19/2006,"ISOCHEM SAS",AMBOX
19535,A,6/20/2006,"FINETECH PHARMACEUTICAL LTD","LATANOPROST DRUG SUBSTANCE"
19537,A,6/14/2006,"SYN-TECH CHEM AND PHARM CO LTD","LANSOPRAZOLE USP"
19539,A,6/22/2006,"CHINOIN PHARMACEUTCIAL AND CHEMICAL WORKS CO LTD","EPOPROSTENAL SODIUM DRUG SUBSTANCE"
19541,A,6/20/2006,"ZHEJIANG SUPOR PHARMACEUTICALS CO LTD","LAMOTRIGINE, USP, NON-STERILE DRUG SUBSTANCE"
19542,A,6/20/2006,"ZHEJIANG SUPOR PHARMACEUTICALS CO LTD","QUETIAPINE FUMARATE, USP NON-STERILE DRUG SUBSTANCE "
19544,A,6/26/2006,"CILAG AG","IRON SUCROSE DRUG SUBSTANCE"
19545,A,4/20/2006,"HENAN TOPFOND PHARMACEUTICAL CO LTD","SIMVASTATIN, NON-STERILE BULK FORM"
19547,A,6/26/2006,"JOHNSON MATTHEY INC PHARMACEUTICAL MATERIALS GROUP","METHYLPHENIDATE HYDROCHLORIDE, USP"
19548,A,6/21/2006,"AUROBINDO PHARMA LTD","TRANDOLAPRIL USP"
19549,A,6/20/2006,"AMSA ANONIMA MATERIE SINTETICHE AND AFFINI SPA","MEMANTINE HYDROCHLORIDE"
19550,A,6/27/2006,"CAMBREX CHARLES CITY INC","PHENYLEPHRINE HYDROCHLORIDE"
19551,A,6/27/2006,"TARO PHARMACEUTICAL INDUSTRIES LTD","BUTENAFINE HYDROCHLORIDE "
19552,A,6/26/2006,"CHEMWERTH INC","NICARDIPINE HYDROCHLORIDE, NON-STERILE, BULK DRUG SUBSTANCE"
19553,A,6/20/2006,"AUROBINDO PHARMA LTD","DICLOXACILLIN SODIUM USP"
19554,A,6/28/2006,"MYLAN LABORATORIES LTD","ARIPIPRAZOLE USP"
19555,A,6/27/2006,"MYLAN LABORATORIES LTD","LANSOPRAZOLE USP"
19557,A,5/29/2006,"SAFC BIOSCIENCES INC","EX-CELL XJEM WITHOUT L-GLUTAMINE, WITHOUT SODIUM BICARBONATE"
19558,A,6/28/2006,"ZHEJIANG HUAYI PHARMACEUTICAL CO LTD","PIOGLITAZONE HYDROCHLORIDE"
19559,A,6/28/2006,"TEVA PHARMACEUTICAL INDUSTRIES LTD",OXALIPLATIN
19561,A,6/29/2006,"NORAMCO INC","HYDROMORPHONE HYDROCHLORIDE DRUG SUBSTANCE"
19566,A,6/30/2006,"MYLAN LABORATORIES LTD",EMTRICITABINE
19567,A,6/28/2006,"CHEMI SPA","OCTREOTIDE ACETATE"
19568,A,6/20/2006,"ZHEJIANG APELOA JIAYUAN PHARMACEUTICAL CO LTD","METOPROLOL SUCCINATE USP "
19569,A,6/30/2006,"SRI KRISHNA PHARMACEUTICALS LTD","SODIUM-4-PHENYL BUTYRIC (4-PHENYL BUTYRIC ACID SODIUM SALT) DRUG SUBSTANCE/API"
19572,A,6/29/2006,"PERRIGO API LTD","ROCURONIUM BROMIDE"
19573,A,7/03/2006,"HOSPIRA BOULDER INC","PAMIDRONIC ACID DRUG SUBSTANCE"
19574,A,7/06/2006,"FARMABIOS SPA","DESONIDE DRUG SUBSTANCE"
19575,A,6/29/2006,"CONTIPRO AS","SODIUM HYALURONATE"
19578,A,6/28/2006,"AUROBINDO PHARMA LTD","PANTOPRAZOLE SODIUM"
19579,A,7/05/2006,"BCN PEPTIDES","SALMON CALCITONIN"
19580,A,7/02/2006,"TAIZHOU HIGHSUN PHARMACEUTICAL CO LTD","GLIPIZIDE USP, NON-STERILE DRUG SUBSTANCE"
19582,A,7/07/2006,"ORCHID PHARMA LTD","AMLODIPINE BESYLATE"
19583,A,6/26/2006,"CADILA PHARMACEUTICALS LTD","CHLORHEXIDINE GLUCONATE"
19584,A,6/30/2006,"PHARMACOSMOS AS","DEXTRAN POWDER "
19586,A,7/11/2006,"FORMOSA LABORATORIES INC",DDAIP.HCI
19587,A,6/30/2006,"LUPIN LTD",BICALUTAMIDE
19588,A,6/30/2006,"AUROBINDO PHARMA LTD","CITALOPRAM HYDROBROMIDE USP (ROUTE-1) "
19589,A,7/12/2006,"SUN PHARMACEUTICAL INDUSTRIES LTD","AMITRIPTYLINE HYDROCHLORIDE USP "
19590,A,7/10/2006,"NEULAND LABORATORIES LTD","ROPINIROLE HYDROCHLORIDE "
19591,A,7/11/2006,"GLOCHEM INDUSTRIES LTD","AMLODIPINE BESILATE P-III"
19594,A,7/11/2006,"PLIVA-LACHEMA AS",OXALIPLATIN
19596,A,7/12/2006,"SYMED LABS LTD","HYDROXYZINE HYDROCHLORIDE"
19598,A,7/14/2006,"RECRO GAINESVILLE LLC",ELN-NM-101G
19599,A,7/14/2006,"INTERQUIM SA","TOLTERODINE TARTRATE "
19600,A,7/17/2006,"MYLAN LABORATORIES LTD","LOPINAVIR (LVR)"
19601,A,7/13/2006,"ORGANICA FEINCHEMIE GMBH WOLFEN","INDOCYANINE GREEN DRUG SUBSTANCE"
19605,A,3/16/2007,"AUROBINDO PHARMA LTD","ATOMOXETINE HYDROCHLORIDE (NON-STERILE DRUG SUBSTANCE)"
19607,A,7/11/2006,"AUROBINDO PHARMA LTD","CEFDINIR USP (CRYSTAL B)"
19608,A,7/10/2006,"AUROBINDO PHARMA LTD","SULBACTAM SODIUM USP (NON-STERILE BULK)"
19610,A,7/17/2006,"FRESENIUS KABI ONCOLOGY LTD",OXALIPLATIN
19611,A,7/17/2006,"AARTI DRUGS LTD","CIPROFLOXACIN HYDROCHLORIDE"
19612,A,7/04/2006,"R L FINE CHEM PVT LTD","IMIPRAMINE PAMOATE DRUG SUBSTANCE"
19613,A,7/17/2006,"ZHEJIANG HISUN PHARMACEUTICAL CO LTD","IDARUBICIN HYDROCHLORIDE, NON-STERILE A PHARMACEUTICAL INGREDIENT"
19618,A,7/21/2006,"SYNTESE AS","MESALAMINE (5-AMINOSALICYLIC ACID) DRUG SUBSTANCE"
19620,A,7/24/2006,"BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG","REPAGLINIDE "
19621,A,7/10/2006,"OLON SPA","ADAPALENE DRUG SUBSTANCE"
19624,A,7/10/2006,"OLON SPA","BICALUTAMIDE DRUG SUBSTANCE"
19626,A,6/30/2006,"LUPIN LTD","PIOGLITAZONE HYDROCHLORIDE "
19627,A,7/21/2006,"FRESENIUS KABI ANTI INFECTIVES SRL","CEFTRIAXONE SODIUM STERILE"
19630,A,6/29/2006,"GENENTECH INC","MSBA30K PEG REAGENT FOR MIRCERA (RO0503819) "
19631,A,7/25/2006,"CADILA HEALTHCARE LTD","DULOXETINE HYDROCHLORIDE USP"
19633,A,7/28/2006,"HERAEUS DEUTSCHLAND GMBH AND CO KG",OXALIPLATIN
19635,A,7/28/2006,"VASUDHA PHARMA CHEM LTD","AMITRIPTYLINE HYDROCHLORIDE USP"
19638,A,8/24/2006,"IPCA LABORATORIES LTD","METOPROLOL SUCCINATE USP (PROCESS-II)"
19639,A,7/22/2006,"WANBURY LTD","GLUCOSAMINE SULFATE POTASSIUM CHLORIDE "
19641,A,7/22/2006,"WANBURY LTD","GLUCOSAMINE SULFATE SODIUM CHLORIDE "
19642,A,7/31/2006,"NOF CORP","DSPC (DISTEAROYL PHOSPHATIDYLCHOLINE)"
19643,A,7/26/2006,"AUROBINDO PHARMA LTD","CEFACLOR USP "
19644,A,7/28/2006,"AUROBINDO PHARMA LTD","CEFTAZIDIME DIHYDROCHLORIDE, NON-STERILE DRUG SUBSTANCE INTERMEDIATE"
19645,A,8/03/2006,"ORCHID PHARMA LTD",MODAFINIL
19646,A,7/31/2006,"POLYPEPTIDE LABORATORIES SWEDEN AB","EXENATIDE DRUG SUBSTANCE "
19647,A,8/02/2006,"SUVEN LIFE SCIENCES LTD","TAMSULOSIN HYDROCHLORIDE "
19648,A,8/04/2006,"SUN PHARMACEUTICAL INDUSTRIES LTD","OXALIPLATIN USP "
19649,A,7/31/2006,"AUROBINDO PHARMA LTD","TOLTERODINE TARTRATE, NON-STERILE DRUG SUBSTANCE"
19652,A,8/03/2006,"ERREGIERRE SPA","CELECOXIB USP-EP"
19655,A,8/03/2006,"ANTIBIOTICOS DO BRASIL LTDA","ARGININE USP, STERILE BULK"
19657,A,7/05/2006,"ZHEJIANG APELOA JIAYUAN PHARMACEUTICAL CO LTD","METHOCARBAMOL API"
19662,A,8/07/2006,"NEULAND LABORATORIES LTD","ESCITALOPRAM OXALATE"
19663,A,6/20/2006,"ARCH PHARMALABS LTD","ESCITALOPRAM OXALATE "
19671,A,8/05/2006,"AUROBINDO PHARMA LTD","LOSARTAN POTASSIUM USP DRUG SUBSTANCE"
19673,A,8/07/2006,"AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA",L-GLUTAMINE
19675,A,8/10/2006,"GLENMARK PHARMACEUTICALS LTD","ALFUZOSIN HYDROCHLORIDE USP"
19678,A,8/14/2006,"SYMED LABS LTD","MEPROBAMATE USP"
19680,A,8/07/2006,"STRIDES SHASUN LTD","MEPROBAMATE USP"
19683,A,8/10/2006,"NAVINTA LLC",FOMEPIZOLE
19685,A,8/15/2006,"CEPHALON INC","ARMODAFINIL DRUG SUBSTANCE"
19686,A,8/14/2006,"STERLING SPA",TRILOSTANE
19687,A,8/11/2006,"NATCO PHARMA LTD",ANASTROZOLE
19690,A,8/15/2006,"CHINOIN PHARMACEUTICAL AND CHEMICAL WORKS PRIVATE CO LTD","IRBESARTAN DRUG SUBSTANCE"
19692,A,8/17/2006,"CHONGQING SHENGHUAXI PHARMACEUTICAL CO LTD",FAMCICLOVIR
19693,A,8/16/2006,"SIEGFRIED USA LLC","MORPHINE SULFATE USP"
19695,A,7/26/2006,"BIA SEPARATIONS DOO","CIM CONVECTIVE INTERACTION MEDIA(R) QA"
19697,A,8/18/2006,"LUPIN LTD","BENAZEPRIL HYDROCHLORIDE USP (PROCESS B)"
19701,A,8/22/2006,"TEVA PHARMACEUTICAL INDUSTRIES LTD","ZOLEDRONIC ACID "
19708,A,8/21/2006,"WOCKHARDT LTD","GRANISETRON HYDROCHLORIDE"
19710,A,8/28/2006,"HARMAN FINOCHEM LTD","GLYCOPYRROLATE USP"
19711,A,8/17/2006,"AUROBINDO PHARMA LTD","FOSINOPRIL SODIUM USP"
19712,A,8/11/2006,"ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD","NEVIRAPINE USP"
19713,A,8/28/2006,"DR REDDYS LABORATORIES LTD","OMEPRAZOLE (FORM B) USP"
19714,A,8/28/2006,"AARTI INDUSTRIES LTD","RAMIPRIL USP (GRADE I)"
19715,A,9/08/2006,"INDUSTRIALE CHIMICA SRL",EPLERENONE
19717,A,8/30/2006,"GLENMARK PHARMACEUTICALS LTD","EZETIMIBE (PROCESS I)"
19721,A,8/31/2006,"POSH CHEMICALS PRIVATE LTD","HYDROCHLOROTHIAZIDE USP"
19722,A,8/31/2006,"MALLADI DRUGS AND PHARMACEUTICALS LTD","2-(4' METHOXYPHENYL) -2-(1-HYDROXYCYCLOHEXYL) ETHYLAMINE ACETATE (MHE ACETATE)"
19723,A,8/31/2006,"HUBEI BIOCAUSE HEILEN PHARMACEUTICAL CO LTD",FLUMAZENIL
19725,A,9/01/2006,"CIPLA LTD","LANSOPRAZOLE USP"
19726,A,8/31/2006,"HUBEI BIOCAUSE HEILEN PHARMACEUTICAL CO LTD",MILRINONE
19730,A,8/31/2006,"AUROBINDO PHARMA LTD","TAMSULOSIN HCI USP"
19732,A,8/31/2006,"ST GOBAIN PERFORMANCE PLASTICS CORP","SANIPURE(TM) BDF(TM) BIOPHARMACEUTICAL TUBING"
19734,A,9/06/2006,"TIANJIN JINJIN PHARMACEUTICAL CO LTD","HYDROCORTISONE BASE"
19735,A,9/06/2006,"GLENMARK PHARMACEUTICALS LTD","IMIQUIMOD USP"
19736,A,11/07/2006,"ALCAMI WISCONSIN CORP",FP-062
19737,A,9/06/2006,"BEIJING TAIYANG PHARMACEUTICAL INDUSTRY CO LTD","DIPHENHYDRAMINE HYDROCHLORIDE"
19739,A,8/31/2006,"JUBILANT GENERICS LTD","ARIPIPRAZOLE USP"
19744,A,9/05/2006,"VITALIFE LABORATORIES DIV ARCH PHARMALABS LTD ","CLOPIDOGREL BISULFATE USP"
19745,A,9/11/2006,"HETERO LABS LTD","THALIDOMIDE USP"
19746,A,9/11/2006,"GLENMARK PHARMACEUTICALS LTD",LINEZOLID
19747,A,9/11/2006,"ORCHID PHARMA LTD",LEVETIRACETAM
19748,A,2/07/2008,"CIPLA LTD","ANASTROZOLE USP"
19749,A,8/24/2006,"CIPLA LTD","ZOLEDRONIC ACID"
19750,A,8/24/2006,"CIPLA LTD","BECLOMETHASONE DIPROPIONATE"
19751,A,9/11/2006,"ORCHID PHARMA LTD","PAROXETINE HYDROCHLORIDE"
19752,A,9/08/2006,"SUVEN LIFE SCIENCES LTD",NITAZOXANIDE
19753,A,4/03/2008,"CIPLA LTD","NEVIRAPINE HEMIHYDRATE USP"
19758,A,9/06/2006,"ROTEM INDUSTRIES LTD","OXYGEN 18 ENRICHED WATER"
19759,A,9/11/2006,"DR REDDYS LABORATORIES LTD","TELMISARTAN "
19760,A,9/13/2006,"CADILA HEALTHCARE LTD","METOPROLOL SUCCINATE"
19763,A,8/24/2006,"NAKODA CHEMICALS LTD",ACETAZOLAMIDE
19765,A,9/12/2006,ISOCHEM,"TRIMEBUTINE MALEATE"
19766,A,8/28/2006,"EVONIK REXIM NANNING PHARMACEUTICAL CO LTD","L-ASPARTIC ACID "
19769,A,8/28/2006,"EVONIK REXIM NANNING PHARMACEUTICAL CO LTD","L-ALANINE "
19773,A,9/15/2006,"NAVINTA LLC","NICARDIPINE HYDROCHLORIDE"
19774,A,9/14/2006,"BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG","SCOPOLAMINE (HYOSCINE)"
19775,A,9/13/2006,"AARTI DRUGS LTD","TERBINAFINE HYDROCHLORIDE "
19777,A,9/18/2006,"ABBEY COLOR INC","FLUORESCEIN USP"
19780,A,9/11/2006,"ALEMBIC PHARMACEUTICALS LTD","ROPINIROLE HYDROCHLORIDE USP"
19783,A,9/20/2006,"JOHNSON MATTHEY PHARMACEUTICAL MATERIALS","TETRAHYDROCANNABINOL (THC) IN SESAME OIL"
19785,A,9/22/2006,"CIPLA LTD",EMTRICITABINE
19788,A,9/19/2006,"ST GOBAIN PERFORMANCE PLASTICS CORP","PHARMAPURE LOW SPALLATION PUMP TUBING"
19789,A,9/19/2006,"ANTIBIOTICOS DO BRASIL LTDA","CEFOXITIN SODIUM STERILE BULK"
19790,A,9/14/2006,"JUBILANT GENERICS LTD","IRBESARTAN USP"
19792,A,9/18/2006,"ZHEJIANG SHENZHOU PHARMACEUTICAL CO LTD","PROGESTERONE USP (BULK)"
19794,A,10/03/2006,"CADILA HEALTHCARE LTD","LANSOPRAZOLE USP"
19796,A,9/25/2006,"APOTEX PHARMACHEM INC","EPLERENONE MEK HEMISOLVATE (1:0.5)"
19798,A,9/26/2006,"ACS DOBFAR SPA","CRUDE CEFEPIME HYDROCHLORIDE"
19799,A,9/22/2006,"SUN PHARMACEUTICAL INDUSTRIES LTD","VENLAFAXINE HYDROCHLORIDE USP"
19800,A,9/26/2006,"MYLAN LABORATORIES LTD","RITONAVIR USP (FORM-II)"
19804,A,9/28/2006,"GRANULES INDIA LTD","ACETAMINOPHEN USP "
19805,A,9/25/2006,"AUROBINDO PHARMA LTD","SULBACTAM SODIUM USP (STERILE) BULK"
19806,A,9/26/2006,"ANTIBIOTICOS DO BRASIL LTDA","CEFEPIME FOR INJECTION USP (STERILE BULK)"
19808,A,9/27/2006,"PERRIGO API LTD","ANASTROZOLE "
19809,A,9/28/2006,"HIKMA PHARMACEUTICALS","ENALAPRILAT USP"
19810,A,8/31/2006,"SANDOZ GMBH","MPI-ACA "
19812,A,9/29/2006,"ORCHID PHARMA LTD","ZOLPIDEM TARTRATE"
19813,A,9/28/2006,"LONZA AG",SIROLIMUS
19815,A,9/29/2006,"UQUIFA ITALIA SPA","PYRANTEL PAMOATE USP"
19816,A,9/29/2006,"WOCKHARDT LTD","FEXOFENADINE HYDROCHLORIDE"
19818,A,8/18/2006,"SHANDONG NEW TIME PHARMACEUTICAL CO LTD","EPIRUBICIN HYDROCHLORIDE"
19819,A,9/15/2006,"FARMHISPANIA SA","ROCURONIUM BROMIDE USP"
19822,A,10/02/2006,"WUHAN SHIJI PHARMACEUTICAL CO LTD",CLOZAPINE
19823,A,9/27/2006,"AUROBINDO PHARMA LTD","TAZOBACTAM HEMIHYDRATE USP"
19829,A,10/04/2006,"TEVA PHARMACEUTICAL INDUSTRIES LTD","MONTELUKAST SODIUM"
19835,A,9/27/2006,"JUBILANT GENERICS LTD","BUPROPION HYDROCHLORIDE USP"
19837,A,9/29/2006,"AUROBINDO PHARMA LTD","STAVUDINE USP (NON-STERILE DRUG SUBSTANCE)"
19839,A,10/05/2006,"MYLAN LABORATORIES LTD","RITONAVIR USP (FORM I)"
19840,A,10/09/2006,"CADILA HEALTHCARE LTD","PROMETHAZINE HYDROCHLORIDE "
19841,A,10/09/2006,"CADILA HEALTHCARE LTD",ARIPIPRAZOLE
19843,A,10/05/2006,"ST GOBAIN PERFORMANCE PLASTICS CORP","PHARMED BPT BIOCOMPATIBLE TUBING"
19844,A,10/05/2006,"ST GOBAIN PERFORMANCE PLASTICS CORP","TYGON S-50-HL MEDICAL/SURGICAL TUBING"
