Active Ingredient,Product Brand Name,Form,Dosage,TE Code,Product Application Type,Product Application No,Product Applicant Name,Marketing Status,Product Marketer Name
CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,SOLUTION;INTRAPERITONEAL,"25.7MG/100ML;1.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,25.7MG/100ML;2.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,25.7MG/100ML;4.25GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML",AT,NDA,20163,BAXTER HLTHCARE,Prescription,Baxter Healthcare Corporation
CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,INPERSOL-LC/LM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER,SOLUTION;INTRAPERITONEAL,"18.4MG/100ML;1.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;2.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;3.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;4.25GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML",NULL,ANDA,20374,FRESENIUS,Discontinued,NULL
CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,INPERSOL-LC/LM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER,SOLUTION;INTRAPERITONEAL,"18.4MG/100ML;1.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;2.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;3.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;4.25GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML",NULL,ANDA,20374,FRESENIUS,Discontinued,NULL
CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,INPERSOL-LC/LM W/ DEXTROSE 3.5% IN PLASTIC CONTAINER,SOLUTION;INTRAPERITONEAL,"18.4MG/100ML;1.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;2.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;3.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;4.25GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML",NULL,ANDA,20374,FRESENIUS,Discontinued,NULL
CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,INPERSOL-LC/LM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,SOLUTION;INTRAPERITONEAL,"18.4MG/100ML;1.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;2.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;3.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,18.4MG/100ML;4.25GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML",NULL,ANDA,20374,FRESENIUS,Discontinued,NULL
"CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM SULFATE;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",ELLIOTTS B SOLUTION,INJECTABLE;INTRATHECAL,0.2MG/ML;0.8MG/ML;0.3MG/ML;0.3MG/ML;1.9MG/ML;7.3MG/ML;0.2MG/ML,NULL,NDA,20577,LUKARE MEDICAL LLC,Prescription,"Lukare Medical, LLC"
"CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM SULFATE;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SODIUM CHLORIDE;SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",ELLIOTTS B SOLUTION,INJECTABLE;INTRATHECAL,0.2MG/ML;0.8MG/ML;0.3MG/ML;0.3MG/ML;1.9MG/ML;7.3MG/ML;0.2MG/ML,NULL,NDA,20577,LUKARE MEDICAL LLC,Prescription,"QOL Medical, LLC"
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE,DEXTROSE 5% IN ACETATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,20MG/100ML;5GM/100ML;30MG/100ML;380MG/100ML;600MG/100ML,NULL,NDA,18258,B BRAUN,Discontinued,NULL
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,DEXTROSE 5% AND RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,33MG/100ML;5GM/100ML;30MG/100ML;860MG/100ML,AP,NDA,18254,HOSPIRA,Prescription,NULL
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,DEXTROSE 5% IN RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,33MG/100ML;5GM/100ML;30MG/100ML;860MG/100ML,AP,NDA,20000,B BRAUN,Prescription,NULL
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,DEXTROSE 5% IN RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,33MG/100ML;5GM/100ML;30MG/100ML;860MG/100ML,NULL,NDA,16695,BAXTER HLTHCARE,Discontinued,NULL
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,DEXTROSE 5% IN RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,33MG/100ML;5GM/100ML;30MG/100ML;860MG/100ML,NULL,NDA,18256,B BRAUN,Discontinued,NULL
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,DEXTROSE 2.5% IN HALF-STRENGTH LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"10MG/100ML;2.5GM/100ML;15MG/100ML;300MG/100ML;160MG/100ML,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML,4MG/100ML;4GM/100ML;6MG/100ML;120MG/100ML;62MG/100ML",NULL,NDA,19634,B BRAUN,Prescription,B. Braun Medical Inc.
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,DEXTROSE 4% IN MODIFIED LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"10MG/100ML;2.5GM/100ML;15MG/100ML;300MG/100ML;160MG/100ML,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML,4MG/100ML;4GM/100ML;6MG/100ML;120MG/100ML;62MG/100ML",NULL,NDA,19634,B BRAUN,Discontinued,B. Braun Medical Inc.
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML,AP,NDA,17608,ICU MEDICAL INC,Prescription,"Hospira, Inc."
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,DEXTROSE 5% IN LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"10MG/100ML;2.5GM/100ML;15MG/100ML;300MG/100ML;160MG/100ML,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML,4MG/100ML;4GM/100ML;6MG/100ML;120MG/100ML;62MG/100ML",AP,NDA,19634,B BRAUN,Prescription,B. Braun Medical Inc.
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,DEXTROSE 5% IN LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML,NULL,NDA,17510,B BRAUN,Discontinued,NULL
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,DEXTROSE 5% IN LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML,NULL,NDA,18499,MILES,Discontinued,NULL
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,LACTATED RINGER'S AND DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE;INJECTION,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML,AP,NDA,16679,BAXTER HLTHCARE,Prescription,Baxter Healthcare Corporation
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML",NULL,NDA,19367,BAXTER HLTHCARE,Prescription,Baxter Healthcare Corporation
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML",NULL,NDA,19685,ICU MEDICAL INC,Discontinued,"Hospira, Inc."
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML",AP,NDA,19367,BAXTER HLTHCARE,Prescription,Baxter Healthcare Corporation
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML",NULL,NDA,19685,ICU MEDICAL INC,Discontinued,"Hospira, Inc."
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML",AP,NDA,19367,BAXTER HLTHCARE,Prescription,Baxter Healthcare Corporation
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML",AP,NDA,19685,ICU MEDICAL INC,Prescription,"Hospira, Inc."
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML",AP,NDA,19367,BAXTER HLTHCARE,Prescription,Baxter Healthcare Corporation
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML",NULL,NDA,19685,ICU MEDICAL INC,Discontinued,"Hospira, Inc."
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML",AP,NDA,19367,BAXTER HLTHCARE,Prescription,Baxter Healthcare Corporation
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML",AP,NDA,19685,ICU MEDICAL INC,Prescription,"Hospira, Inc."
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML",NULL,NDA,19367,BAXTER HLTHCARE,Prescription,Baxter Healthcare Corporation
CALCIUM CHLORIDE;DEXTROSE;POTASSIUM CHLORIDE;SODIUM CHLORIDE;SODIUM LACTATE,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,"20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;179MG/100ML;600MG/100ML;310MG/100ML,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML",NULL,NDA,19685,ICU MEDICAL INC,Discontinued,"Hospira, Inc."
CALCIUM CHLORIDE;DEXTROSE;SODIUM CHLORIDE;SODIUM LACTATE,INPERSOL-ZM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER,SOLUTION;INTRAPERITONEAL,"25.7MG/100ML;1.5GM/100ML;538MG/100ML;448MG/100ML,25.7MG/100ML;2.5GM/100ML;538MG/100ML;448MG/100ML,25.7MG/100ML;4.25GM/100ML;538MG/100ML;448MG/100ML",NULL,NDA,19395,FRESENIUS MEDCL,Discontinued,NULL
CALCIUM CHLORIDE;DEXTROSE;SODIUM CHLORIDE;SODIUM LACTATE,INPERSOL-ZM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER,SOLUTION;INTRAPERITONEAL,"25.7MG/100ML;1.5GM/100ML;538MG/100ML;448MG/100ML,25.7MG/100ML;2.5GM/100ML;538MG/100ML;448MG/100ML,25.7MG/100ML;4.25GM/100ML;538MG/100ML;448MG/100ML",NULL,NDA,19395,FRESENIUS MEDCL,Discontinued,NULL
CALCIUM CHLORIDE;DEXTROSE;SODIUM CHLORIDE;SODIUM LACTATE,INPERSOL-ZM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,SOLUTION;INTRAPERITONEAL,"25.7MG/100ML;1.5GM/100ML;538MG/100ML;448MG/100ML,25.7MG/100ML;2.5GM/100ML;538MG/100ML;448MG/100ML,25.7MG/100ML;4.25GM/100ML;538MG/100ML;448MG/100ML",NULL,NDA,19395,FRESENIUS MEDCL,Discontinued,NULL
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE,TPN ELECTROLYTES IN PLASTIC CONTAINER,INJECTABLE;INJECTION,16.5MG/ML;25.4MG/ML;74.6MG/ML;121MG/ML;16.1MG/ML,NULL,NDA,18895,HOSPIRA,Prescription,"Hospira, Inc."
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE,TPN ELECTROLYTES IN PLASTIC CONTAINER,INJECTABLE;INJECTION,16.5MG/ML;25.4MG/ML;74.6MG/ML;121MG/ML;16.1MG/ML,NULL,NDA,19399,ABBOTT,Discontinued,NULL
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE;SODIUM CITRATE,BSS,SOLUTION;IRRIGATION,0.48MG/ML;0.3MG/ML;0.75MG/ML;3.9MG/ML;6.4MG/ML;1.7MG/ML,AT,NDA,20742,ALCON,Prescription,"Alcon Laboratories, Inc."
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE;SODIUM CITRATE,ISOLYTE E IN PLASTIC CONTAINER,INJECTABLE;INJECTION,35MG/100ML;30MG/100ML;74MG/100ML;640MG/100ML;500MG/100ML;74MG/100ML,NULL,NDA,18899,B BRAUN,Discontinued,NULL
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE;SODIUM CITRATE,ISOLYTE E IN PLASTIC CONTAINER,INJECTABLE;INJECTION,35MG/100ML;30MG/100ML;74MG/100ML;640MG/100ML;500MG/100ML;74MG/100ML,NULL,NDA,19718,B BRAUN,Discontinued,NULL
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE;SODIUM LACTATE,PLASMA-LYTE R IN PLASTIC CONTAINER,INJECTABLE;INJECTION,36.8MG/100ML;30.5MG/100ML;74.6MG/100ML;640MG/100ML;496MG/100ML;89.6MG/100ML,NULL,NDA,17438,BAXTER HLTHCARE,Discontinued,NULL
CALCIUM CHLORIDE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,PLEGISOL IN PLASTIC CONTAINER,"SOLUTION;PERFUSION,CARDIAC",17.6MG/100ML;325.3MG/100ML;119.3MG/100ML;643MG/100ML,AT,NDA,18608,HOSPIRA,Prescription,"Hospira, Inc."
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM CHLORIDE,ACETATED RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,20MG/100ML;30MG/100ML;380MG/100ML;600MG/100ML,NULL,NDA,18725,B BRAUN,Discontinued,NULL
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,33MG/100ML;30MG/100ML;860MG/100ML,AP,NDA,16693,BAXTER HLTHCARE,Prescription,Baxter Healthcare Corporation
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,33MG/100ML;30MG/100ML;860MG/100ML,AP,NDA,18251,ICU MEDICAL INC,Prescription,"Hospira, Inc."
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,33MG/100ML;30MG/100ML;860MG/100ML,AP,NDA,20002,B BRAUN,Prescription,B. Braun Medical Inc.
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,RINGER'S IN PLASTIC CONTAINER,INJECTABLE;INJECTION,33MG/100ML;30MG/100ML;860MG/100ML,NULL,NDA,18721,B BRAUN,Discontinued,NULL
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,RINGER'S IN PLASTIC CONTAINER,SOLUTION;IRRIGATION,33MG/100ML;30MG/100ML;860MG/100ML,AT,NDA,17635,ICU MEDICAL INC,Prescription,"Hospira, Inc."
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,RINGER'S IN PLASTIC CONTAINER,SOLUTION;IRRIGATION,33MG/100ML;30MG/100ML;860MG/100ML,AT,NDA,18156,B BRAUN,Prescription,B. Braun Medical Inc.
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,RINGER'S IN PLASTIC CONTAINER,SOLUTION;IRRIGATION,33MG/100ML;30MG/100ML;860MG/100ML,AT,NDA,18495,BAXTER HLTHCARE,Prescription,Baxter Healthcare Corporation
CALCIUM CHLORIDE;POTASSIUM CHLORIDE;SODIUM CHLORIDE,RINGER'S IN PLASTIC CONTAINER,SOLUTION;IRRIGATION,33MG/100ML;30MG/100ML;860MG/100ML,NULL,NDA,18462,ABBOTT,Discontinued,NULL
